crop_type,season,temperature,humidity,rainfall,soil_moisture,soil_ph,light_intensity,disease_label
Tomato,winter,20.2,71.08,0.0,52.45,6.24,48827,Verticillium Wilt
Potato,winter,24.69,56.82,0.0,43.28,5.71,11907,Healthy
Potato,winter,24.28,58.95,0.0,37.53,5.5,97,Healthy
Potato,winter,26.39,68.97,0.0,49.75,5.84,19549,Healthy
Tomato,winter,21.83,64.14,0.0,65.41,6.55,24083,Healthy
Tomato,winter,20.96,69.69,0.0,47.33,6.82,0,Verticillium Wilt
Potato,winter,24.63,52.29,0.0,35.23,6.21,50000,Healthy
Potato,winter,20.98,54.79,0.43,65.17,6.04,38,Healthy
Potato,winter,20.77,59.91,11.85,66.83,5.5,13547,Healthy
Potato,winter,23.09,59.76,0.0,44.78,5.67,32507,Healthy
Tomato,winter,22.5,54.99,0.0,54.79,5.64,87,Verticillium Wilt
Tomato,winter,24.31,50.99,0.0,52.77,6.6,33525,Healthy
Tomato,winter,20.46,56.01,0.0,69.63,6.72,22727,Healthy
Potato,winter,21.58,69.15,0.0,49.49,5.77,18996,Healthy
Potato,winter,23.05,62.47,0.0,36.95,5.98,20474,Healthy
Potato,winter,18.43,63.43,0.0,58.76,6.0,84,Healthy
Tomato,winter,21.33,50.55,2.48,63.49,6.21,29909,Healthy
Potato,winter,23.04,68.94,0.0,29.64,5.5,41310,Verticillium Wilt
Tomato,winter,22.01,53.24,0.0,55.35,6.37,34690,Verticillium Wilt
Tomato,winter,17.96,58.46,0.0,57.99,6.4,97,Healthy
Potato,winter,20.58,63.05,0.0,76.02,5.5,100,Healthy
Tomato,winter,23.0,56.9,0.0,50.12,7.19,35716,Verticillium Wilt
Potato,winter,21.16,59.57,0.0,56.87,6.0,34057,Healthy
Potato,winter,19.75,70.86,0.0,71.56,5.5,25502,Healthy
Tomato,winter,21.91,60.33,9.89,71.91,6.57,29605,Healthy
Potato,winter,25.89,53.72,0.0,41.24,6.32,22607,Healthy
Potato,winter,22.12,65.13,0.0,50.66,5.52,50000,Healthy
Potato,winter,25.14,59.28,0.0,54.01,6.32,89,Healthy
Tomato,winter,21.38,66.91,0.0,55.99,6.38,46,Verticillium Wilt
Tomato,winter,22.22,69.01,0.0,47.64,6.42,23875,Verticillium Wilt
Potato,winter,20.27,65.77,0.0,66.63,6.13,22,Healthy
Potato,winter,18.5,67.62,0.0,50.32,5.58,90,Healthy
Potato,winter,25.04,64.93,0.0,62.75,6.42,54,Healthy
Tomato,winter,19.66,65.56,0.0,68.91,6.27,90,Healthy
Tomato,winter,22.31,62.25,0.0,51.4,7.4,5658,Verticillium Wilt
Potato,winter,18.7,69.28,0.0,60.56,5.5,31870,Healthy
Potato,winter,23.07,55.43,0.0,61.09,5.59,34,Healthy
Potato,winter,17.91,58.82,4.65,48.55,5.5,87,Healthy
Tomato,winter,21.27,49.36,5.12,43.9,6.26,10779,Verticillium Wilt
Tomato,winter,21.05,49.41,0.0,48.72,6.13,22017,Verticillium Wilt
Potato,winter,25.12,60.47,0.0,49.08,5.73,22962,Healthy
Tomato,winter,20.48,55.93,0.0,60.89,6.71,28790,Healthy
Tomato,winter,23.6,64.94,0.0,46.06,6.06,24468,Verticillium Wilt
Tomato,winter,20.23,57.03,0.0,64.45,6.13,38852,Healthy
Potato,winter,20.01,55.71,0.0,60.41,6.35,34586,Healthy
Potato,winter,24.04,76.17,0.0,60.49,5.71,35466,Healthy
Tomato,winter,23.24,63.04,0.0,57.03,6.83,52,Verticillium Wilt
Potato,winter,23.9,52.94,0.0,47.89,6.08,1,Healthy
Potato,winter,21.11,59.78,0.0,50.66,6.12,6746,Healthy
Tomato,winter,23.68,62.13,0.0,46.19,6.14,72,Verticillium Wilt
Potato,winter,19.79,50.39,0.0,53.4,6.65,4889,Healthy
Potato,winter,22.35,62.9,5.68,39.31,6.52,19156,Healthy
Tomato,winter,20.32,60.93,0.0,58.31,6.26,43,Verticillium Wilt
Potato,winter,20.97,51.74,0.0,63.85,5.5,32861,Healthy
Tomato,winter,27.38,50.67,0.0,56.13,6.59,21434,Healthy
Potato,winter,21.92,66.04,0.0,43.21,5.89,26358,Healthy
Tomato,winter,19.79,53.72,0.0,46.59,7.32,73,Healthy
Tomato,winter,23.67,54.83,0.0,54.25,6.74,44,Verticillium Wilt
Potato,winter,24.25,62.54,0.0,66.58,5.5,79,Healthy
Potato,winter,22.11,58.87,0.0,54.05,5.86,33,Healthy
Potato,winter,21.92,56.62,0.0,64.58,6.49,1921,Healthy
Tomato,winter,21.46,64.02,0.0,49.45,5.9,33,Verticillium Wilt
Tomato,winter,22.2,66.37,7.05,47.86,6.14,53,Verticillium Wilt
Tomato,winter,19.1,55.21,0.99,60.83,6.05,15181,Healthy
Potato,winter,19.4,58.14,0.0,56.53,5.71,21,Healthy
